run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
23,65,19,0.019398299977183342,0.00102096315669386,44.33521572668496,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,23,135,21,75,False
24,66,16,0.01578509993851185,0.0009865687461569905,48.2061849433279,4,"0,1,2,3",209,45,1.1811023622047243,0.17716535433070865,0.6968503937007874,1,177,177,25,51,1,False
25,67,24,0.024955500033684075,0.0010398125014035031,47.21183070449891,4,"0,1,2,3",215,39,1.1574803149606299,0.15354330708661418,0.6811023622047244,12,173,55,14,173,12,False
26,68,35,0.057934700045734644,0.001655277144163847,33.727902729611095,4,"0,1,2,3",34,220,1.9291338582677164,0.8661417322834646,0.4448818897637795,13,113,28,13,100,113,False
27,69,67,0.12178160005714744,0.0018176358217484694,33.72790272968089,4,"0,1,2,3",34,220,1.9291338582677164,0.8661417322834646,0.4448818897637795,13,113,28,100,13,113,False
28,70,18,0.025721700047142804,0.0014289833359523779,44.54704568321634,4,"0,1,2,3",195,59,1.2480314960629921,0.23228346456692914,0.531496062992126,21,135,23,75,21,135,False
29,71,42,0.05261939996853471,0.0012528428563936835,45.373247586268455,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,35,181,13,False
30,72,40,0.04557820002082735,0.001139455000520684,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,35,25,False
31,73,22,0.023601600085385144,0.0010728000038811429,44.27767249441261,4,"0,1,2,3",192,62,1.2559055118110236,0.2440944881889764,0.5393700787401575,21,137,137,73,23,21,False
32,74,17,0.026004399987868965,0.0015296705875217037,38.129570846580876,3,"0,1,2",145,109,1.5826771653543308,0.42913385826771655,0.5984251968503937,0,152,152,23,79,0,False
33,75,24,0.026319000055082142,0.0010966250022950892,50.591427319350785,4,"0,1,2,3",189,65,1.2559055118110236,0.2559055118110236,0.5393700787401575,2,137,137,21,94,2,False
34,76,20,0.023629699950106442,0.001181484997505322,43.61208446319704,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5354330708661418,20,136,23,136,75,20,False
35,77,12,0.020075500011444092,0.0016729583342870076,36.334280594271746,4,"0,1,2,3",43,211,1.921259842519685,0.8307086614173228,0.4251968503937008,24,108,108,94,24,28,False
36,78,15,0.01824589993339032,0.001216393328892688,43.50783780496747,4,"0,1,2,3",189,65,1.2716535433070866,0.2559055118110236,0.5354330708661418,20,136,136,20,75,23,False
37,79,23,0.02954429993405938,0.0012845347797417123,44.5383036505352,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.5354330708661418,21,136,75,136,21,22,False
38,80,20,0.021665900014340878,0.0010832950007170438,50.39394047357267,4,"0,1,2,3",184,70,1.2755905511811023,0.2755905511811024,0.531496062992126,2,135,135,2,96,21,False
39,81,30,0.03480529994703829,0.0011601766649012764,45.37324758626841,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,35,25,False
40,82,14,0.013063499936833978,0.0009331071383452841,44.4856901734108,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,43,173,25,13,False
41,83,15,0.017379799974150956,0.0011586533316100638,43.592265535916205,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5275590551181102,20,134,20,23,77,134,False
42,84,11,0.011187999974936247,0.001017090906812386,45.3732475862684,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,13,181,25,False
